,STN_NM,위도,경도,주소
2811,새생명교회,37.61101486841114,127.0183231429017,"2단지 상가, 길음로, 길음1동, 성북구, 서울, 01198, 대한민국"
2812,서경대정문앞,37.61296267401025,127.0130490024046,"대일외국어고등학교, 서경로, 정릉4동, 성북구, 서울, 01198, 대한민국"
2813,노인정,37.59265281741224,126.9909645068994,"성북로23길, 성북동, 성북구, 서울, 02837, 대한민국"
2814,법화사,37.58459002471211,127.01097238019835,"삼선교로16길, 삼선동, 성북구, 서울, 02876, 대한민국"
2815,범양APT입구,37.60403643561067,127.02713720489518,"돈암현대아파트, 돈암1동, 성북구, 서울, 02801, 대한민국"
2816,선잠로3길입구,37.59591083330847,126.99717630989726,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
2817,선잠로3길입구,37.59604483780864,126.99693981619612,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
2818,원진프라자앞,37.59954606341294,127.03298966150034,"종암동, 성북구, 서울, 02800, 대한민국"
2819,대우APT정문.대림APT후문앞,37.61227874001051,127.01764182759896,"426, 길음로, 길음1동, 성북구, 서울, 01198, 대한민국"
2820,선잠단지.성락원앞,37.59455488280806,126.99906029570212,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
2821,선잠단지.성락원앞,37.59449509921268,126.9990653050996,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
2822,팔각정,37.59237384890946,126.99221428650094,"성북로23길, 성북동, 성북구, 서울, 02837, 대한민국"
2823,성북동성당,37.595246903411535,126.9978063655968,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
2824,성북동성당,37.59519539301214,126.9977698177036,"선잠로, 성북동, 성북구, 서울, 02880, 대한민국"
